GUID,Name,Container,Type,URL,Downloaded
a1792c,"[FF9000]Rui Shi[-] MSV2, Spitfire",Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811022962868813/AE0603EB9C00E964D193CEA6DBF3450C9ECBB920/,Pending
d44ad7,[FF9000]Liu Xing[-] BSG,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004810770191481045/84101668BA6315ED0E41DBFF4E84BC03FCFB7C87/,Pending
2f7520,[FF9000]Guilang[-] FO,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004810770191373756/44B7C5EB6782AD9DFB37C870A36DB1A452E84E7A/,Pending
1db870,[FF9000]Yan Huo[-] 2 ML neurocinetics,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004810770196321330/E12EDF7E565193DC9676D4790D52BA93E804321F/,Pending
3c2237,[FF9000]Pangguling[-] EVO,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811022962957641/D73E1CB018A374AD74562EF377062757B76F2565/,Pending
7bef25,[FF9000]Daoying Operative Control Unit[-] Hacker,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004810770191102499/312F8D4622BC8BF6465D6F7294315CAFC9CBE3DE/,Pending
57372b,[FF9000]Chaiyi Yaokong[-] Flashbot,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004810770196506451/0483C1EF5954D30B56E60A2660893657E04286EF/,Pending
23efea,[FF9000]Guijia[-] M.HMG,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004810890038485422/E0E92DA76A670A4EC932CBBCDFFB7FF472B3E38C/,Pending
3ce5dd,S7,Root/VAULSC YuJing (75ecf6)/[FF9000]Guijia[-] M.HMG-State2,Custom_Model,https://steamusercontent-a.akamaihd.net/ugc/1762566040434513546/34EE1AF3873E76E19912EDE95F2059647D9AB1D9/,Pending
7d8b37,[FF9000]Daofei[-] HMG,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004810770190907539/AFAEE3281587ACA52B8F3F2954C2DF4A00CB1D6F/,Pending
cbd62a,[FF9000]Kuang Shi[-] Chain,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004810770191437127/EA2CBFC0F95D77E97D875382C3AAFDA9891E4232/,Pending
cfd217,[FF9000]Ninja[-] KHD,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004810770191531650/CA074EA8F56221D61573A6DD90143B80A2C8311F/,Pending
112ae9,[FF9000]TO Camo S2[-],Root/VAULSC YuJing (75ecf6)/[FF9000]Ninja[-] KHD-State2,Custom_Model,https://steamusercontent-a.akamaihd.net/ugc/1762566040434517424/7BD92CCD59122AA034293F6D291C3B4227CF46CC/,Pending
c1e94c,[FF9000]Zhencha[-] FO,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004810890038414039/6B90CF8D4202F3C1BEE105F6DAC21AF46DD021AB/,Pending
a03545,[FF9000]Shaolin Warrior Monk[-] Chain,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004810770191583777/BF3F8DE350DC5AF4AE95C7719A99EEAD6DAC1951/,Pending
802275,[FF9000]Celestial Guard[-] Smoke LGL,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004810890038296116/170B23B82D6F73B07E7B4D01DDB6DB1807BE7CAC/,Pending
5a20df,[FF9000]Tiger Soldier[-] Spitfire,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1010439308576535545/4475B498DBB2D1EF3C9D365FB43E7306D02234A1/,Pending
c1e96b,[FF9000]Su Jian[-] Spitfire transformed,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004810770196368540/36ADED4F2C2EE8173DC938044F5C4B600E02A092/,Pending
afad53,[FF9000]Su Jian[-] BATTLECAT,Root/VAULSC YuJing (75ecf6)/[FF9000]Su Jian[-] Spitfire transformed-State2,Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004810770196415750/70958DAA9B91520B94A129465C1F1F09B913C024/,Pending
1f79f3,[FF9000]Yaozao[-],Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004810890038372265/CC5ECDC3FCE2D4105CB65943E70ED42BDAB9B9C5/,Pending
6ede9c,[FF9000]Wu Ming[-] FO,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1004811022962997068/D2F4E5AF1D3FF2B00050B6407C4903C055C6AE92/,Pending
966097,[FF9000]Kanren[-] combi,Root/VAULSC YuJing (75ecf6),Custom_Assetbundle,https://steamusercontent-a.akamaihd.net/ugc/1455177151333148731/2C6AF1A401C8F2203120F633AF265DFD54442856/,Pending
